 _   _        ___  ___   _____       ___   __   _   _____
| | / /      /   |/   | | ____|     /   | |  \ | | /  ___/ 
| |/ /      / /|   /| | | |__      / /| | |   \| | | |___  
| |\ \     / / |__/ | | |  __|    / / | | | |\   | \___  \ 
| | \ \   / /       | | | |___   / /  | | | | \  |  ___| | 
|_|  \_\ /_/        |_| |_____| /_/   |_| |_|  \_| /_____/ 

		 Relatorio dos agrupamentos:

Nome da base de dados: BDVowel.txt
Numero de amostras: 990
Numero de atributos: 10
Atributos de classe: 1

---------------------------------------------------------

Grupo 0: 

---------------------------------------------------------
Amostra 60	0.26814988	0.26339006	0.53726393	0.8156365	0.5679636	0.7755296	0.6942176	0.2935174	0.4746749	0.2623537	1
Amostra 61	0.27142856	0.25582862	0.55461967	0.8301637	0.5694796	0.7913374	0.69693875	0.27490997	0.42950034	0.26820543	1
Amostra 62	0.30843088	0.21912414	0.5308831	0.893291	0.5482567	0.8621562	0.662585	0.3595438	0.4028063	0.21618985	1
Amostra 270	0.6847775	0.4856648	0.2524247	0.63946116	0.2713492	0.5994309	0.32993194	0.45858344	0.52087617	0.2877113	1
Amostra 271	0.68079627	0.48172653	0.25038284	0.6312731	0.29459324	0.5191274	0.42278907	0.387455	0.5927447	0.29908973	1
Amostra 272	0.6789227	0.47574037	0.24936192	0.64131004	0.2872663	0.5618084	0.35680267	0.45048016	0.5633128	0.27080622	1
Amostra 273	0.6843091	0.49133584	0.22230728	0.63285786	0.31606874	0.5943725	0.33605438	0.44687873	0.528063	0.28153443	1
Amostra 274	0.6819672	0.49180847	0.20214394	0.6534601	0.31985852	0.59532094	0.3163265	0.48199278	0.46543464	0.2994148	1
Amostra 275	0.66580796	0.4727473	0.23762123	0.6790808	0.33046994	0.5618084	0.32823125	0.49159664	0.45653662	0.30689207	1
Amostra 361	0.62552696	0.5384373	0.37340477	0.61859477	0.1414856	0.5880494	0.58673465	0.37394956	0.65776867	0.3403771	1
Amostra 362	0.6032787	0.5389099	0.34660542	0.61278397	0.18191008	0.6104964	0.49863943	0.4234694	0.59958935	0.32347202	1
Amostra 363	0.5824356	0.5263075	0.3432874	0.6159535	0.24507329	0.6342081	0.42891154	0.43967587	0.54928136	0.3351755	1
Amostra 364	0.5386417	0.50441086	0.34609494	0.6096144	0.30722588	0.61555487	0.4520408	0.37394956	0.54209447	0.3709363	1
Amostra 365	0.4847775	0.4957467	0.34609494	0.6207078	0.3456291	0.65128046	0.40238094	0.39285713	0.47741273	0.36150846	1
Amostra 430	0.58032787	0.5198488	0.45354772	0.47173795	0.34183934	0.35409424	0.36326528	0.5960384	0.62217665	0.30559167	1
Amostra 431	0.586651	0.52678007	0.45839715	0.4540412	0.34916624	0.34840342	0.3823129	0.5687275	0.67522246	0.3143693	1
Amostra 630	0.2974239	0.5637996	0.66641146	0.83993655	0.078827694	0.4517863	0.37482992	0.68577427	0.7488022	0.44830948	1
Amostra 631	0.29508197	0.5551355	0.66717714	0.84020066	0.055836298	0.44356626	0.3758503	0.7016806	0.7566735	0.45091027	1
Amostra 632	0.28688523	0.5669502	0.66079634	0.80348647	0.02854981	0.44641164	0.40578228	0.68907565	0.7457221	0.46651495	1
Amostra 734	0.40585482	0.4689666	0.4925983	0.9508715	0.2738757	0.37148276	0.5214286	0.5642257	0.7060233	0.5481144	1
Amostra 735	0.38922715	0.5007876	0.5048494	0.89064974	0.2342092	0.5320898	0.4693877	0.6407563	0.7659137	0.35565665	1
Amostra 736	0.3901639	0.5040958	0.5040837	0.82963544	0.25720063	0.58235854	0.52993196	0.6341536	0.80219036	0.3384265	1
Amostra 737	0.41826698	0.47227475	0.47192445	0.7876386	0.274381	0.6449573	0.48061222	0.7656063	0.739562	0.38133937	1
Amostra 754	0.31592506	0.48440453	0.4517611	0.671421	0.47928247	0.5558015	0.44693872	0.767407	0.6184121	0.24219765	1
